gender,school,inc_aframer,inc_amerind,inc_asian,inc_hisp,inc_white,inc_total
Total,Dr. Rayner Browne Elem/Middle,21,0,0,0,4,25
Total,Edgecombe Circle Elem/Middle,50,0,0,0,0,50
Total,Edmondson-Westside High,127,0,0,0,0,127
Total,Elmer A. Henderson: A Johns Hopkins Partnership,13,0,0,0,0,13
Total,Empowerment Academy,13,0,0,0,0,13
Total,Excel Academy @ Francis M. Wood High,35,0,0,0,0,35
Total,Fallstaff Elementary/Middle,70,0,0,0,0,70
Total,Forest Park High,122,0,0,0,0,122
Total,Francis Scott Key Elementary/Middle,169,0,2,0,10,181
Total,Franklin Square Elem/Middle,69,0,0,0,0,69
Total,Frederick Douglass High,168,0,0,0,0,168
Total,Friendship Academy of Engineering and Technology,86,0,0,0,2,88
Total,Friendship Academy of Science and Technology,207,0,0,5,2,214
Total,Garrett Heights Elementary/Middle,26,0,0,0,0,26
Total,Garrison Middle,137,0,0,0,0,137
Total,George W. F. McMechen,1,0,0,0,0,1
Total,Glenmount Elementary/Middle,42,0,3,0,0,45
Total,Graceland Park/O'Donnell Heights Elementary/Middle,6,0,0,0,0,6
Total,Green Street Academy,22,0,0,0,0,22
Total,Grove Park Elementary/Middle,52,0,0,0,0,52
Total,Guilford Elementary/Middle,15,0,0,0,0,15
Total,Hamilton Elementary/Middle,45,0,0,0,4,49
Total,Hampden Elem/Middle,0,0,0,0,10,10
Total,Hampstead Hill Academy Elem/Middle,21,0,0,1,7,29
Total,Harlem Park Elem/Middle,77,0,0,0,0,77
Total,Hazelwood Elementary/Middle,53,0,0,1,0,54
Total,Heritage High School,172,0,0,0,0,172
Total,Highlandtown Elementary/Middle #215,29,0,0,4,1,34
Total,Highlandtown Elementary/Middle #237,14,0,0,0,7,21
Total,Holabird Elementary/Middle,6,0,0,0,1,7
Total,Independence School Local I,5,0,0,0,1,6
Total,Inner Harbor East Academy,4,0,0,0,0,4
Total,James McHenry Elem/Middle,128,0,0,0,5,133
Total,John Ruhrah Elementary/Middle,1,0,0,1,18,20
Total,K.I.P.P. Ujima Village Academy,111,0,0,0,0,111
Total,KASA (Knowledge and Success Academy),149,3,0,0,5,157
Total,Lakeland Elementary/Middle,42,0,0,3,7,52
Total,Maree G. Farring Elementary/Middle,37,0,0,0,28,65
Total,Margaret Brent Elem/Middle,7,0,0,0,0,7
Total,Maritime Industries Academy High,115,0,0,0,1,116
Total,MD Academy of Technology and Health Sciences,26,0,0,0,0,26
Total,Mergenthaler Vocational-Technical High,291,0,0,0,11,302
Total,Midtown Academy,5,0,0,0,0,5
Total,Montebello Elementary/Middle,70,0,0,0,0,70
Total,Morrell Park Elementary/Middle,10,0,0,0,18,28
Total,Mount Royal Elementary/Middle,28,0,0,0,0,28
Total,N.A.C.A. Freedom and Democracy Academy II,41,0,0,0,0,41
Total,National Academy Foundation,124,0,1,1,2,128
Total,New Era Academy,150,0,0,0,1,151
Total,New Hope Academy,19,0,0,0,0,19
Total,North Bend Elementary/Middle,20,0,0,0,0,20
Total,Northeast Middle,104,0,0,0,1,105
Total,Northwestern High,185,0,0,0,5,190
Total,Patapsco Elementary/Middle,26,0,0,0,0,26
Total,Patterson High,207,0,1,3,7,218
Total,Patterson Park Public Charter School,23,0,0,1,0,24
Total,Paul Laurence Dunbar High,95,0,0,0,0,95
Total,Pimlico Elementary/Middle,80,0,0,0,0,80
Total,Reginald F. Lewis High School,27,0,0,0,0,27
Total,Renaissance Academy High,96,0,0,0,0,96
Total,Rognel Heights Elementary/Middle,22,0,0,0,0,22
Total,Roland Park Elementary/Middle,36,0,0,0,6,42
Total,Rosemont Elem/Middle,14,0,0,0,0,14
Total,Southside Academy,10,0,0,0,0,10
Total,Southwest Baltimore Charter School,45,0,0,0,1,46
Total,Stadium School Middle,127,0,0,0,0,127
Total,Tench Tilghman Elem/Middle,18,0,0,0,0,18
Total,The Crossroads School,24,0,0,2,2,28
Total,The Mount Washington School,18,0,0,0,0,18
Total,The REACH! Partnership School,206,2,0,0,0,208
Total,Thomas Jefferson Elementary/Middle,27,0,0,0,0,27
Total,Thomas Johnson Elem/Middle,5,0,0,0,2,7
Total,Vanguard Collegiate Middle School,53,0,0,0,0,53
Total,Violetville Elementary/Middle,21,1,0,3,15,40
Total,Vivien T. Thomas Medical Arts Academy,205,0,0,0,1,206
Total,W.E.B. DuBois High,35,0,0,0,5,40
Total,Walter P. Carter Elementary/Middle,23,0,0,0,0,23
Total,Waverly Elem/Middle,9,0,0,0,1,10
Total,Western High,63,0,0,0,6,69
Total,Westport Academy,27,0,0,0,1,28
Total,William C. March Middle,88,0,0,0,0,88
Total,William Pinderhughes Elem/Middle,15,0,0,0,0,15
Total,Windsor Hills Elem/Middle,39,4,0,0,0,43
Total,Woodhome Elementary/Middle,34,0,0,0,5,39
