"BLDG_NUM,N,19,11","PRG__NUM,N,19,11","NAME,C,254","GRADES,C,254","ADDRESS,C,254","ZIPCODE,C,254","CATEGORY,C,254","TYPE,C,254","x_1,N,19,11","y_1,N,19,11",,Match Y/N,Match Type,Matched Address,Tiger Line ID,Tiger Side,Longitude,Latitude
21.00000000000,21.00000000000,Hilton,Pre-K - 5.,3301 Carlisle Avenue,21216,ES,Traditional,1404606.95491000000,601989.14371400000,,Match,Exact,"3301 Carlisle Ave, BALTIMORE, MD, 21216",206413182,L,-76.67307,39.319435
22.00000000000,22.00000000000,George Washington,Pre-K - 5.,800 Scott Street,21230,ES,Traditional,1417311.87504000000,588186.38818300000,,Match,Exact,"800 Scott St, BALTIMORE, MD, 21230",206418566,R,-76.62877,39.281162
23.00000000000,23.00000000000,Wolfe Street Academy,Pre-K - 5,245 S. Wolfe Street,21231,Charter,Conversion Charter,1428407.89484000000,590746.28234200000,,Match,Exact,"245 S Wolfe St, BALTIMORE, MD, 21231",206424601,L,-76.59029,39.288666
24.00000000000,24.00000000000,Westside,Pre-K - 5.,2235 N. Fulton Avenue,21217,ES,Traditional,1412921.60101000000,600222.88609200000,,Match,Exact,"2235 N Fulton Ave, BALTIMORE, MD, 21217",206416060,R,-76.64552,39.31396
25.00000000000,25.00000000000,Dr. Rayner Browne,Pre-K - 8.,1000 N. Montford Avenue,21213,PK8,Traditional,1429984.95107000000,596252.42290400000,,Match,Exact,"1000 N Montford Ave, BALTIMORE, MD, 21213",206423875,L,-76.58392,39.30238
27.00000000000,27.00000000000,Commodore John Rodgers,Pre-K - 8.,100 N. Chester Street,21231,PK8,Traditional,1428901.78887000000,592775.96496200000,,Match,Exact,"100 N Chester St, BALTIMORE, MD, 21231",206424673,L,-76.587524,39.292908
157.00000000000,28.00000000000,William Pinderhughes,Pre-K - 8.,701 Gold Street,21217,PK8,Traditional,1414057.60497000000,597345.99978500000,,Match,Exact,"701 Gold St, BALTIMORE, MD, 21217",206416346,L,-76.640366,39.306797
29.00000000000,29.00000000000,Matthew A. Henson,Pre-K - 5.,1600 N. Payson Street,21217,ES,Traditional,1411261.25787000000,597505.60150000000,,Match,Exact,"1600 N Payson St, BALTIMORE, MD, 21217",206414607,L,-76.649765,39.306618
31.00000000000,31.00000000000,Coldstream Park,Pre-K - 6,1400 Exeter Hall Avenue,21218,PK8,Traditional,1424800.11006000000,603043.57795700000,,Match,Exact,"1400 Exeter Hall Ave, BALTIMORE, MD, 21218",206464612,L,-76.60189,39.320538
34.00000000000,34.00000000000,Charles Carroll Barrister,Pre-K - 5.,1327 Washington Boulevard,21230,ES,Traditional,1415390.18203000000,587704.89669200000,,Match,Exact,"1327 Washington Blvd, BALTIMORE, MD, 21230",206418008,L,-76.63575,39.28035
35.00000000000,35.00000000000,Harlem Park,Pre-K - 8.,1401 W. Lafayette Avenue,21217,PK8,Traditional,1413888.04297000000,594430.01349100000,,Match,Exact,"1401 W Lafayette Ave, BALTIMORE, MD, 21217",206416449,L,-76.64018,39.298992
36.00000000000,37.00000000000,Harford Heights,Pre-K - 5.,1919 N. Broadway,21213,ES,Traditional,1427125.58999000000,600003.26645200000,,Match,Exact,"1919 N Broadway, BALTIMORE, MD, 21213",206442015,R,-76.595695,39.31305
39.00000000000,39.00000000000,Dallas F. Nicholas Sr.,Pre-K - 5.,201 E. 21St. Street,21218,ES,Traditional,1421668.34992000000,599782.64353400000,,Match,Exact,"201 E 21st St, BALTIMORE, MD, 21218",206464558,R,-76.61386,39.313335
42.00000000000,42.00000000000,Garrison,6 - 8.,3910 Barrington Road,21207,MS,Traditional,1401622.25812000000,606772.24569700000,,Match,Exact,"3910 Barrington Rd, BALTIMORE, MD, 21207",206442999,R,-76.682884,39.331413
44.00000000000,44.00000000000,Montebello,Pre-K - 8.,2040 E. 32nd St,21218,Contract,Edison,1429611.41310000000,605318.90181800000,,Match,Exact,"2040 E 32nd St, BALTIMORE, MD, 21218",206466260,L,-76.58632,39.327347
45.00000000000,45.00000000000,Federal Hill,Pre-K - 8.,1040 William Street,21230,PK8,Traditional,1422375.77009000000,586898.35696700000,,Match,Exact,"1040 William St, BALTIMORE, MD, 21230",206421142,R,-76.61077,39.277565
47.00000000000,47.00000000000,Hampstead Hill Academy,Pre-K - 8.,500 S. Linwood Avenue,21224,Charter,Conversion Charter,1432300.21809000000,590054.90577200000,,Match,Exact,"500 S Linwood Ave, BALTIMORE, MD, 21224",206425155,R,-76.57583,39.28625
49.00000000000,49.00000000000,Northeast,6 - 8.,5001 Moravia Road,21206,MS,Traditional,1439150.62992000000,604040.00280100000,,Match,Exact,"5001 Moravia Rd, BALTIMORE, MD, 21206",206455892,R,-76.55057,39.324535
50.00000000000,50.00000000000,Abbottston,Pre-K - 5.,1300 Gorsuch Avenue,21218,ES,Traditional,1425649.23599000000,604216.44798700000,,Match,Exact,"1300 Gorsuch Ave, BALTIMORE, MD, 21218",206409425,L,-76.60029,39.324783
51.00000000000,51.00000000000,Waverly,Pre-K - 8.,3400 Ellerslie Avenue,21218,PK8,Traditional,1424235.62694000000,606096.84120700000,,Match,Exact,"3400 Ellerslie Ave, BALTIMORE, MD, 21218",206409300,L,-76.60364,39.329926
53.00000000000,53.00000000000,Margaret Brent,Pre-K - 8.,100 E. 26Th Street,21218,PK8,Traditional,1421213.25208000000,602272.82293700000,,Match,Exact,"100 E 26th St, BALTIMORE, MD, 21218",206418836,L,-76.61549,39.319435
54.00000000000,54.00000000000,Barclay,Pre-K - 8.,2900 Barclay Street,21218,PK8,Traditional,1422150.65506000000,603696.82665100000,,Match,Exact,"2900 Barclay St, BALTIMORE, MD, 21218",206408968,L,-76.61115,39.323532
55.00000000000,55.00000000000,Hampden,Pre-K - 8.,3608 Chestnut Avenue,21211,PK8,Traditional,1417023.29687000000,606752.97834700000,,Match,Exact,"3608 Chestnut Ave, BALTIMORE, MD, 21211",206407717,L,-76.62946,39.331776
58.00000000000,58.00000000000,Dr. Nathan A. Pitts-Ashburton,Pre-K - 8.,3935 Hilton Rd,21215,PK8,Traditional,1406379.47794000000,606282.74700400000,,Match,Exact,"3935 Hilton Rd, BALTIMORE, MD, 21215",206406465,R,-76.66857,39.329983
